Апрель 2025,,,,,,,,,,,,,,,,,,
№,Склад / Номенклатура,диаметр круга,плротность материала,фактический остаток ,масса прутка ,фактический остаток ,приход кг,,расход м,,,,расход за месяц м,начальный остаток,приход в месяц,расход месяц ,Конечный остаток ,Конечный остаток
,,м,кг/м3,м,1 метр,кг,1-2 неделя,3-4 неделя,1 неделя,2 неделя,3 неделя,4 неделя,,кг.,кг.,кг.,кг.,м
,,,,,,,,,,,,,,,,,,
1,"Круг ф 3,0 ст 45      калибровка","0,003",7850,,"0,055","0,000",,,,,,,0,"5,000","0,000","0,000","5,000","90,155"
2,"Круг ф 6,0 ст 45      калибровка","0,006",7850,,"0,222","0,000",,,,,,,0,"1,000","0,000","0,000","1,000","4,508"
3,Круг ф 8 ст 45         калибровка,"0,008",7850,,"0,394","0,000",,,,56,,,56,"105,800","0,000","22,086","83,714","212,266"
4,Круг ф 10 ст 45     калибровка ,"0,01",7850,3,"0,616","1,849",130,,,,,,0,"3,000","130,000","0,000","133,000","215,830"
5,Круг ф 12 ст 35  калибровка,"0,012",7850,104,"0,887","92,286",,,,,,,0,"92,286","0,000","0,000","92,286","104,000"
6,Круг ф 12 ст 40х,"0,012",7850,80,"0,887","70,989",,,,,,,0,"70,989","0,000","0,000","70,989","80,000"
7,Круг ф 12 ст 10880,"0,012",7850,,"0,887","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
8,Круг ф 12           ст 3,"0,012",7850,,"0,887","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
9,Круг ф 14 ст 35       калибровка,"0,014",7850,"13,7","1,208","16,547",,,,,,,0,"16,547","0,000","0,000","16,547","13,700"
10,Круг ф 14 ст 40х,"0,014",7850,186,"1,208","224,651",,,,28,6,,34,"224,651","0,000","41,065","183,586","152,000"
11,Круг ф 16 ст 35       калибровка,"0,016",7850,4,"1,578","6,310",,,,,,,0,"6,310","0,000","0,000","6,310","4,000"
12,Круг ф 16 ст 40х,"0,016",7850,180,"1,578","283,956",,,,,,,0,"283,956","0,000","0,000","283,956","180,000"
13,Круг ф 18 ст 40х,"0,018",7850,240,"1,997","479,177",,,,,,,0,"479,177","0,000","0,000","479,177","240,000"
14,Круг ф 20 ст 40х,"0,02",7850,378,"2,465","931,732",,,,,"0,64",,"0,64","931,732","0,000","1,578","930,155","377,360"
15,Круг ф 20 ст 3,"0,02",7850,,"2,465","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
16,Круг ф 20 ст 45      калибровка,"0,02",7850,,"2,465","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
17,Круг ф 22 ст 40х,"0,022",7850,210,"2,983","626,331",,,,,,,0,"626,331","0,000","0,000","626,331","210,000"
18,Круг ф 25 ст 40х,"0,025",7850,204,"3,851","785,687",,,,"0,21","62,9",,"63,11","785,687","0,000","243,062","542,625","140,890"
19,Круг ф 28 ст 40х,"0,02",7850,84,"2,465","207,052",,,,,,,0,"207,052","0,000","0,000","207,052","84,000"
20,Круг ф 30 ст 40х,"0,03",7850,108,"5,546","598,971",,,,,"4,76",,"4,76","598,971","0,000","26,399","572,572","103,240"
21,Круг ф 30  ст 20,"0,03",7850,,"5,546","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
22,Круг ф 32 ст 40х,"0,032",7850,108,"6,310","681,496",,,,"2,1",,,"2,1","681,496","0,000","13,251","668,244","105,900"
23,Круг ф 32       ст 20,"0,032",7850,,"6,310","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
24,Круг ф 36        ст 60С2А,"0,036",7850,,"7,986","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
25,Круг ф 36 ст 40х,"0,036",7850,42,"7,986","335,424",,,,,"14,55",,"14,55","335,424","0,000","116,200","219,223","27,450"
26,Круг ф 40 ст 40х,"0,04",7850,120,"9,860","1183,152",,,,"1,6","21,75",,"23,35","1183,152","0,000","230,222","952,930","96,650"
27,Круг ф 40 ст 30х13,"0,04",7850,,"9,860","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
28,Круг ф 42 ст 40х,"0,042",7850,"15,55","10,870","169,032",,,,"3,74","0,32",,"4,06","169,032","0,000","44,133","124,899","11,490"
29,Круг ф 45 ст 40х,"0,045",7850,"24,12","12,479","300,983",,,,,"24,12",,"24,12","300,983","0,000","300,983","0,000","0,000"
30,Круг ф 50          ст 3,"0,05",7850,24,"15,406","369,735",,,,,,,0,"369,735","0,000","0,000","369,735","24,000"
31,Круг ф 50 ст 40х,"0,05",7850,"8,9","15,406","137,110",,,,"2,65",,,"2,65","137,110","0,000","40,825","96,285","6,250"
32,Круг ф 50        ст 40х13,"0,05",7850,,"15,406","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
33,Круг ф 56 ст 40х,"0,056",7850,"22,3","19,325","430,943",,,,,,,0,"430,943","0,000","0,000","430,943","22,300"
34,Круг ф 60 ст 40х,"0,06",7850,65,"22,184","1441,967",,,,"2,56",,,"2,56","1441,967","0,000","56,791","1385,175","62,440"
35,Круг ф 60      ст 40х13,"0,06",7850,,"22,184","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
36,Круг ф 65 ст 40х,"0,065",7850,"70,5","26,036","1835,503",,,,"16,1",,,"16,1","1835,503","0,000","419,172","1416,332","54,400"
37,Круг ф 70 ст 40х,"0,07",7850,"30,84","30,195","931,215",,,,"0,28",,,"0,28","931,215","0,000","8,455","922,760","30,560"
38,Круг ф 70           ст 40х13,"0,07",7850,,"30,195","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
39,Круг ф 75 ст 40х,"0,075",7850,"17,6","34,663","610,063",,,,10,,,10,"610,063","0,000","346,627","263,436","7,600"
40,Круг ф 80 ст 40х,"0,08",7850,"31,5","39,438","1242,310",,,,"2,24",,,"2,24","1242,310","0,000","88,342","1153,968","29,260"
41,Круг ф 85 ст 40х,"0,085",7850,"24,5","44,522","1090,795",,,,"0,5",,,"0,5","1090,795","0,000","22,261","1068,534","24,000"
42,Круг ф 90 ст 40х,"0,09",7850,"12,1","49,914","603,962",,,,,,,0,"603,962","0,000","0,000","603,962","12,100"
43,Круг ф 90            ст 60,"0,09",7850,,"49,914","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
44,Круг ф 95 ст 40х,"0,095",7850,"1,75","55,614","97,325",,,,"1,75",,,"1,75","97,325","0,000","97,325","0,000","0,000"
45,Круг ф 100 ст 40х,"0,1",7850,"25,35","61,623","1562,130",,,,,,,0,"1562,130","0,000","0,000","1562,130","25,350"
46,Круг ф 110 ст 40х,"0,11",7850,"9,63","74,563","718,044",,,,"1,95",,,"1,95","718,044","0,000","145,398","572,646","7,680"
47,Круг ф 110          ст 20х13,"0,11",7850,,"74,563","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
48,Круг ф 120       ст 20,"0,12",7850,,"88,736","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
49,Круг ф 120 ст 40х,"0,12",7850,"9,3","88,736","825,249",,,,,,,0,"825,249","0,000","0,000","825,249","9,300"
50,Круг ф 130 ст 40х,"0,13",7850,"2,75","104,142","286,391",,,,"0,9",,,"0,9","286,391","0,000","93,728","192,663","1,850"
51,Круг ф 140 ст 40х,"0,14",7850,6,"120,780","724,681",,,,,,,0,"724,681","0,000","0,000","724,681","6,000"
52,Круг ф 150          ст 20,"0,15",7850,,"138,651","0,000",,,,,,,0,"0,000","0,000","0,000","0,000","0,000"
53,Круг ф 150 ст 40х,"0,15",7850,"10,44","138,651","1447,513",,,,,"0,04",,"0,04","1447,513","0,000","5,546","1441,967","10,400"
54,Круг ф 160 ст 40х,"0,16",7850,"6,66","157,754","1050,639",,,,,,,0,"1050,639","0,000","0,000","1050,639","6,660"
55,Круг ф 170          ст 3,"0,17",7850,"5,32","178,089","947,434",,,,,,,0,"947,434","0,000","0,000","947,434","5,320"
56,Круг ф 180 ст 45 40х,"0,18",7850,6,"199,657","1197,941",,,,,,,0,"1197,941","0,000","0,000","1197,941","6,000"
